tender_id,buyer_id,buyer_name,tender_title,category,sub_category,location,state,estimated_value_inr,procurement_method,award_criteria,publication_date,submission_deadline,technical_evaluation_date,financial_evaluation_date,award_date,contract_duration_days,status
T001,B01,Public Works Department (PWD) - Roads Division,Rural Road Upgrade for Public Works Department (PWD) at Shimla,Road Infrastructure,Rural Road Upgrade,Shimla,Himachal Pradesh,77327621,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-16 11:30:00,2023-02-10 04:30:00,2023-02-15,2023-02-19,2023-02-23,540,AWARDED
T002,B02,National Highways Authority of India (NHAI) - RO Shimla,Govt Senior School for National Highways Authority of India (NHAI) at Solan,Civil Construction,Govt Senior School,Solan,Himachal Pradesh,149781615,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-17 11:30:00,2023-01-24 04:30:00,2023-01-29,2023-02-04,2023-02-11,90,AWARDED
T003,B03,Municipal Corporation Solan - Works Wing,Lift Irrigation Scheme for Municipal Corporation Solan at Mandi,Water & Sanitation,Lift Irrigation Scheme,Mandi,Himachal Pradesh,24652766,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-18 11:30:00,2023-02-17 04:30:00,2023-02-23,2023-03-02,2023-03-10,90,AWARDED
T004,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Dharamshala,Electrical & Energy,Substation 33/11kV,Dharamshala,Himachal Pradesh,18515728,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-20 11:30:00,2023-02-14 04:30:00,2023-02-24,2023-02-27,2023-03-07,90,AWARDED
T005,B05,State Health Infrastructure Development Agency,Pavement Overlay for State Health Infrastructure Development Agency at Chandigarh,Road Infrastructure,Pavement Overlay,Chandigarh,Himachal Pradesh,70988462,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-23 11:30:00,2023-02-22 04:30:00,2023-03-04,2023-03-07,2023-03-11,540,AWARDED
T006,B06,Jal Shakti / State Water & Sewerage Board,Govt Senior School for Jal Shakti / State Water & Sewerage Board at Mohali,Civil Construction,Govt Senior School,Mohali,Himachal Pradesh,131082641,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-23 11:30:00,2023-02-22 04:30:00,2023-02-27,2023-03-04,2023-03-13,540,AWARDED
T007,B07,Education Engineering Directorate,Sewage Treatment Plant for Education Engineering Directorate at Ludhiana,Water & Sanitation,Sewage Treatment Plant,Ludhiana,Himachal Pradesh,117203521,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-01-24 11:30:00,2023-02-21 04:30:00,2023-02-28,2023-03-03,2023-03-07,240,AWARDED
T008,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at Ambala,Electrical & Energy,Smart Metering System,Ambala,Himachal Pradesh,117050206,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-25 11:30:00,2023-02-27 04:30:00,2023-03-08,2023-03-15,2023-03-25,240,AWARDED
T009,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Panchkula,Road Infrastructure,Bridge Construction,Panchkula,Himachal Pradesh,6000599,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-01-26 11:30:00,2023-02-24 04:30:00,2023-03-04,2023-03-11,2023-03-15,180,AWARDED
T010,B01,Public Works Department (PWD) - Roads Division,Administrative Complex for Public Works Department (PWD) at Dehradun,Civil Construction,Administrative Complex,Dehradun,Himachal Pradesh,27386360,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-30 11:30:00,2023-02-24 04:30:00,2023-03-05,2023-03-08,2023-03-16,365,AWARDED
T011,B03,Municipal Corporation Solan - Works Wing,Rural Water Supply Pipeline for Municipal Corporation Solan at Haridwar,Water & Sanitation,Rural Water Supply Pipeline,Haridwar,Himachal Pradesh,120553299,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-30 11:30:00,2023-02-21 04:30:00,2023-03-01,2023-03-08,2023-03-14,90,AWARDED
T012,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Jaipur,Electrical & Energy,Substation 33/11kV,Jaipur,Himachal Pradesh,43055028,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-30 11:30:00,2023-02-21 04:30:00,2023-02-25,2023-03-01,2023-03-11,90,AWARDED
T013,B05,State Health Infrastructure Development Agency,Bridge Construction for State Health Infrastructure Development Agency at New Delhi,Road Infrastructure,Bridge Construction,New Delhi,Himachal Pradesh,89321382,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-01-31 11:30:00,2023-03-08 04:30:00,2023-03-16,2023-03-19,2023-03-24,365,AWARDED
T014,B06,Jal Shakti / State Water & Sewerage Board,District Sports Stadium for Jal Shakti / State Water & Sewerage Board at Shimla,Civil Construction,District Sports Stadium,Shimla,Himachal Pradesh,155002819,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-02 11:30:00,2023-03-06 04:30:00,2023-03-10,2023-03-13,2023-03-22,365,AWARDED
T015,B07,Education Engineering Directorate,Lift Irrigation Scheme for Education Engineering Directorate at Solan,Water & Sanitation,Lift Irrigation Scheme,Solan,Himachal Pradesh,233493874,Direct Contracting,Lowest Evaluated Responsive Bid (L1),2023-02-03 11:30:00,2023-02-26 04:30:00,2023-03-06,2023-03-09,2023-03-16,540,AWARDED
T016,B01,Public Works Department (PWD) - Roads Division,"Maintenance & Resurfacing Package B - Sector 4, Mandi",Electrical & Energy,HT Transmission Line,Mandi,Himachal Pradesh,4850000,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-04 11:30:00,2023-03-10 04:30:00,2023-03-16,2023-03-21,2023-03-28,240,AWARDED
T017,B01,Public Works Department (PWD) - Roads Division,Pavement Overlay for Public Works Department (PWD) at Dharamshala,Road Infrastructure,Pavement Overlay,Dharamshala,Himachal Pradesh,94957553,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-11 23:45:00,2023-03-07 16:45:00,2023-03-11,2023-03-16,2023-03-26,90,AWARDED
T018,B02,National Highways Authority of India (NHAI) - RO Shimla,Govt Senior School for National Highways Authority of India (NHAI) at Chandigarh,Civil Construction,Govt Senior School,Chandigarh,Himachal Pradesh,19508964,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-07 11:30:00,2023-03-03 04:30:00,2023-03-13,2023-03-18,2023-03-25,365,AWARDED
T019,B03,Municipal Corporation Solan - Works Wing,Sewage Treatment Plant for Municipal Corporation Solan at Mohali,Water & Sanitation,Sewage Treatment Plant,Mohali,Himachal Pradesh,110995582,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-08 11:30:00,2023-03-15 04:30:00,2023-03-25,2023-04-01,2023-04-04,240,AWARDED
T020,B04,Rural Development & Panchayati Raj Dept,Solar Microgrid 500kW for Rural Development & Panchayati Raj Dept at Ludhiana,Electrical & Energy,Solar Microgrid 500kW,Ludhiana,Himachal Pradesh,75187363,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-10 11:30:00,2023-02-15 04:30:00,2023-02-21,2023-02-27,2023-03-09,540,AWARDED
T021,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Ambala,Road Infrastructure,Bridge Construction,Ambala,Himachal Pradesh,13990501,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-13 11:30:00,2023-03-18 04:30:00,2023-03-24,2023-03-31,2023-04-10,365,AWARDED
T022,B06,Jal Shakti / State Water & Sewerage Board,Community Health Center for Jal Shakti / State Water & Sewerage Board at Panchkula,Civil Construction,Community Health Center,Panchkula,Himachal Pradesh,21866554,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-13 11:30:00,2023-03-10 04:30:00,2023-03-19,2023-03-24,2023-03-30,365,AWARDED
T023,B07,Education Engineering Directorate,Rural Water Supply Pipeline for Education Engineering Directorate at Dehradun,Water & Sanitation,Rural Water Supply Pipeline,Dehradun,Himachal Pradesh,128390469,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-02-13 11:30:00,2023-03-21 04:30:00,2023-03-27,2023-04-03,2023-04-08,240,AWARDED
T024,B08,State Electricity Board Ltd (HPSEBL),HT Transmission Line for State Electricity Board Ltd (HPSEBL) at Haridwar,Electrical & Energy,HT Transmission Line,Haridwar,Himachal Pradesh,180915633,Direct Contracting,Lowest Evaluated Responsive Bid (L1),2023-02-15 11:30:00,2023-03-16 04:30:00,2023-03-20,2023-03-24,2023-03-30,365,AWARDED
T025,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Jaipur,Road Infrastructure,Bridge Construction,Jaipur,Himachal Pradesh,105780752,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-16 11:30:00,2023-03-23 04:30:00,2023-04-01,2023-04-06,2023-04-10,365,AWARDED
T026,B02,National Highways Authority of India (NHAI) - RO Shimla,Govt Senior School for National Highways Authority of India (NHAI) at New Delhi,Civil Construction,Govt Senior School,New Delhi,Himachal Pradesh,30170303,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-02-17 11:30:00,2023-03-21 04:30:00,2023-03-27,2023-04-03,2023-04-11,240,AWARDED
T027,B03,Municipal Corporation Solan - Works Wing,Lift Irrigation Scheme for Municipal Corporation Solan at Shimla,Water & Sanitation,Lift Irrigation Scheme,Shimla,Himachal Pradesh,74734049,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-20 11:30:00,2023-03-14 04:30:00,2023-03-19,2023-03-25,2023-03-29,365,AWARDED
T028,B04,Rural Development & Panchayati Raj Dept,Smart Metering System for Rural Development & Panchayati Raj Dept at Solan,Electrical & Energy,Smart Metering System,Solan,Himachal Pradesh,29024410,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-20 11:30:00,2023-03-19 04:30:00,2023-03-26,2023-03-31,2023-04-07,180,AWARDED
T029,B05,State Health Infrastructure Development Agency,Pavement Overlay for State Health Infrastructure Development Agency at Mandi,Road Infrastructure,Pavement Overlay,Mandi,Himachal Pradesh,80709930,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-21 11:30:00,2023-03-24 04:30:00,2023-03-30,2023-04-04,2023-04-08,180,AWARDED
T030,B01,Public Works Department (PWD) - Roads Division,Community Health Center for Public Works Department (PWD) at Dharamshala,Civil Construction,Community Health Center,Dharamshala,Himachal Pradesh,29535356,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-23 11:30:00,2023-03-25 04:30:00,2023-03-30,2023-04-05,2023-04-14,180,AWARDED
T031,B07,Education Engineering Directorate,Stormwater Drainage Network for Education Engineering Directorate at Chandigarh,Water & Sanitation,Stormwater Drainage Network,Chandigarh,Himachal Pradesh,146463985,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-02-24 11:30:00,2023-03-29 04:30:00,2023-04-03,2023-04-10,2023-04-18,90,AWARDED
T032,B08,State Electricity Board Ltd (HPSEBL),Solar Microgrid 500kW for State Electricity Board Ltd (HPSEBL) at Mohali,Electrical & Energy,Solar Microgrid 500kW,Mohali,Himachal Pradesh,172063715,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-04 23:45:00,2023-03-11 16:45:00,2023-03-18,2023-03-25,2023-04-04,540,AWARDED
T033,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Ludhiana,Road Infrastructure,Bridge Construction,Ludhiana,Himachal Pradesh,179745078,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-02-27 11:30:00,2023-04-04 04:30:00,2023-04-12,2023-04-16,2023-04-24,180,AWARDED
T034,B02,National Highways Authority of India (NHAI) - RO Shimla,District Sports Stadium for National Highways Authority of India (NHAI) at Ambala,Civil Construction,District Sports Stadium,Ambala,Himachal Pradesh,113789019,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-02-28 11:30:00,2023-03-27 04:30:00,2023-04-05,2023-04-09,2023-04-19,365,AWARDED
T035,B03,Municipal Corporation Solan - Works Wing,Sewage Treatment Plant for Municipal Corporation Solan at Panchkula,Water & Sanitation,Sewage Treatment Plant,Panchkula,Himachal Pradesh,10659225,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-01 11:30:00,2023-03-08 04:30:00,2023-03-12,2023-03-18,2023-03-26,90,AWARDED
T036,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Dehradun,Electrical & Energy,Substation 33/11kV,Dehradun,Himachal Pradesh,123920541,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-02 11:30:00,2023-04-02 04:30:00,2023-04-06,2023-04-09,2023-04-12,180,AWARDED
T037,B05,State Health Infrastructure Development Agency,Rural Road Upgrade for State Health Infrastructure Development Agency at Haridwar,Road Infrastructure,Rural Road Upgrade,Haridwar,Himachal Pradesh,86735361,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-06 11:30:00,2023-04-05 04:30:00,2023-04-12,2023-04-19,2023-04-29,180,AWARDED
T038,B06,Jal Shakti / State Water & Sewerage Board,District Sports Stadium for Jal Shakti / State Water & Sewerage Board at Jaipur,Civil Construction,District Sports Stadium,Jaipur,Himachal Pradesh,141230479,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-06 11:30:00,2023-04-09 04:30:00,2023-04-18,2023-04-22,2023-04-25,540,AWARDED
T039,B07,Education Engineering Directorate,Stormwater Drainage Network for Education Engineering Directorate at New Delhi,Water & Sanitation,Stormwater Drainage Network,New Delhi,Himachal Pradesh,140068080,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-06 11:30:00,2023-03-31 04:30:00,2023-04-04,2023-04-08,2023-04-13,365,AWARDED
T040,B08,State Electricity Board Ltd (HPSEBL),HT Transmission Line for State Electricity Board Ltd (HPSEBL) at Shimla,Electrical & Energy,HT Transmission Line,Shimla,Himachal Pradesh,19369418,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-08 11:30:00,2023-04-04 04:30:00,2023-04-13,2023-04-17,2023-04-25,540,AWARDED
T041,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Solan,Road Infrastructure,Bridge Construction,Solan,Himachal Pradesh,14558011,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-03-09 11:30:00,2023-04-13 04:30:00,2023-04-23,2023-04-26,2023-04-30,540,AWARDED
T042,B02,National Highways Authority of India (NHAI) - RO Shimla,Administrative Complex for National Highways Authority of India (NHAI) at Mandi,Civil Construction,Administrative Complex,Mandi,Himachal Pradesh,46273153,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-10 11:30:00,2023-04-08 04:30:00,2023-04-16,2023-04-22,2023-05-02,365,AWARDED
T043,B03,Municipal Corporation Solan - Works Wing,Rural Water Supply Pipeline for Municipal Corporation Solan at Dharamshala,Water & Sanitation,Rural Water Supply Pipeline,Dharamshala,Himachal Pradesh,167525645,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-13 11:30:00,2023-04-05 04:30:00,2023-04-10,2023-04-13,2023-04-22,240,AWARDED
T044,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Chandigarh,Electrical & Energy,Substation 33/11kV,Chandigarh,Himachal Pradesh,138206147,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-13 11:30:00,2023-04-16 04:30:00,2023-04-24,2023-04-30,2023-05-03,540,AWARDED
T045,B05,State Health Infrastructure Development Agency,Rural Road Upgrade for State Health Infrastructure Development Agency at Mohali,Road Infrastructure,Rural Road Upgrade,Mohali,Himachal Pradesh,122249432,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-14 11:30:00,2023-04-15 04:30:00,2023-04-21,2023-04-27,2023-05-03,540,AWARDED
T046,B06,Jal Shakti / State Water & Sewerage Board,District Sports Stadium for Jal Shakti / State Water & Sewerage Board at Ludhiana,Civil Construction,District Sports Stadium,Ludhiana,Himachal Pradesh,53512646,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-03-15 11:30:00,2023-04-20 04:30:00,2023-04-29,2023-05-04,2023-05-07,540,AWARDED
T047,B07,Education Engineering Directorate,Sewage Treatment Plant for Education Engineering Directorate at Ambala,Water & Sanitation,Sewage Treatment Plant,Ambala,Himachal Pradesh,125632406,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-17 11:30:00,2023-04-19 04:30:00,2023-04-27,2023-05-02,2023-05-11,365,AWARDED
T048,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at Panchkula,Electrical & Energy,Smart Metering System,Panchkula,Himachal Pradesh,25041943,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-20 11:30:00,2023-04-21 04:30:00,2023-04-30,2023-05-07,2023-05-12,240,AWARDED
T049,B01,Public Works Department (PWD) - Roads Division,Rural Road Upgrade for Public Works Department (PWD) at Dehradun,Road Infrastructure,Rural Road Upgrade,Dehradun,Himachal Pradesh,15374707,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-20 11:30:00,2023-04-17 04:30:00,2023-04-24,2023-04-28,2023-05-04,90,AWARDED
T050,B02,National Highways Authority of India (NHAI) - RO Shimla,Govt Senior School for National Highways Authority of India (NHAI) at Haridwar,Civil Construction,Govt Senior School,Haridwar,Himachal Pradesh,12367076,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-21 11:30:00,2023-04-20 04:30:00,2023-04-27,2023-05-03,2023-05-08,240,AWARDED
T051,B03,Municipal Corporation Solan - Works Wing,Stormwater Drainage Network for Municipal Corporation Solan at Jaipur,Water & Sanitation,Stormwater Drainage Network,Jaipur,Himachal Pradesh,59573236,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-22 11:30:00,2023-04-26 04:30:00,2023-05-02,2023-05-07,2023-05-10,180,AWARDED
T052,B04,Rural Development & Panchayati Raj Dept,Smart Metering System for Rural Development & Panchayati Raj Dept at New Delhi,Electrical & Energy,Smart Metering System,New Delhi,Himachal Pradesh,44412626,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-03-23 11:30:00,2023-04-17 04:30:00,2023-04-23,2023-04-27,2023-05-06,180,AWARDED
