vendor_id,vendor_name,registration_number,director_id,registered_address,city,state,phone,email,company_type,registration_date,industry_category
V001,BuildRight Infra Pvt Ltd,CIN-U45200HP2010PTC100000,DIR1001,"Plot 42, Industrial Area, Solan",Shimla,Himachal Pradesh,+91-1792-234501,compliance@buildrightinfra.in,Private Limited,2012-01-01,Road Infrastructure
V002,Apex Constructions Ltd,CIN-U45200HP2011PTC100137,DIR1001,"Plot 42, Industrial Area, Solan",Solan,Himachal Pradesh,+91-1792-234501,compliance@apexinfra.in,Limited,2012-03-14,Civil Construction
V003,Shiva Infra JV,CIN-U45200HP2012PTC100274,DIR1002,"Plot 42, Industrial Area, Solan",Mandi,Himachal Pradesh,+91-1792-234502,contact@shivainfra.in,Partnership,2012-05-26,Water & Sanitation
V004,Skyline Civil Tech,CIN-U45200HP2013PTC100411,DIR1003,"Plot 4, Industrial Area, Phase 4",Dharamshala,Himachal Pradesh,+91-9800520473,tenders@skyline.in,LLP,2012-08-07,Electrical & Energy
V005,Bharat Earthmovers & Infra,CIN-U45200HP2014PTC100548,DIR1004,"Plot 5, Industrial Area, Phase 1",Chandigarh,Punjab,+91-9800693964,tenders@bharat.in,Proprietary,2012-10-19,Road Infrastructure
V006,Krishna Roadways & Infra,CIN-U45200HP2015PTC100685,DIR1006,"Plot 6, Industrial Area, Phase 2",Mohali,Punjab,+91-172-278905,info@krishna.com,Private Limited,2012-12-31,Civil Construction
V007,Himalaya Foundations,CIN-U45200HP2016PTC100822,DIR1006,"Plot 7, Industrial Area, Phase 3",Ludhiana,Punjab,+91-9801040946,tenders@himalaya.in,Limited,2013-03-14,Water & Sanitation
V008,Metro Bridges & Civil,CIN-U45200HP2017PTC100959,DIR1007,"Plot 8, Industrial Area, Phase 4",Ambala,Haryana,+91-9801214437,tenders@metro.in,Partnership,2013-05-26,Electrical & Energy
V009,Ganga Water Works Ltd,CIN-U45200HP2018PTC101096,DIR1008,"Plot 9, Industrial Area, Phase 1",Panchkula,Haryana,+91-9801387928,tenders@ganga.in,LLP,2013-08-07,Road Infrastructure
V010,National Electrics Corp,CIN-U45200HP2019PTC101233,DIR1009,"Plot 10, Industrial Area, Phase 2",Dehradun,Uttarakhand,+91-9801561419,tenders@national.in,Proprietary,2013-10-19,Civil Construction
V011,Pinnacle Urban Developers,CIN-U45200HP2010PTC101370,DIR1010,"Plot 11, Industrial Area, Phase 3",Haridwar,Uttarakhand,+91-9801734910,tenders@pinnacle.in,Private Limited,2013-12-31,Water & Sanitation
V012,Surya Power & Infra,CIN-U45200HP2011PTC101507,DIR1006,"Plot 12, Industrial Area, Phase 4",Jaipur,Rajasthan,+91-172-278911,info@surya.com,Limited,2014-03-14,Electrical & Energy
V013,Vanguard Engineering Works,CIN-U45200HP2012PTC101644,DIR1012,"Plot 13, Industrial Area, Phase 1",New Delhi,Delhi,+91-9802081892,tenders@vanguard.in,Partnership,2014-05-26,Road Infrastructure
